Date and Time,Description,Reference No.,Debit,Credit,Balance
1/1/2026 9:24,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03637E+12,,1000,1304.78
1/1/2026 9:26,"Payment to Apple services, Merchant Transaction Number: MN40Z7WW5Ga0",307670346,999,,305.78
1/2/2026 14:16,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.0364E+12,,2500,2805.78
1/2/2026 14:19,Transfer from My_Number to Others_Number,3.0364E+12,2000,,805.78
1/2/2026 14:28,Payment to MLBB,638702717,105.34,,700.44
1/3/2026 9:03,Transfer from My_Number to Others_Number,3.03644E+12,360,,340.44
1/3/2026 10:09,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03645E+12,,1000,1340.44
1/3/2026 10:18,"Payment to Apple services, Merchant Transaction Number: MN40ZBTM5Qa0",317718563,799,,541.44
1/4/2026 17:19,Buy Load Transaction for Others_Number,320611661,51,,490.44
1/6/2026 18:40,Buy Load Transaction for Others_Number,328795067,22,,468.44
1/7/2026 9:05,Transfer from My_Number to Others_Number,3.03657E+12,200,,268.44
1/8/2026 13:44,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03659E+12,,1000,1268.44
1/8/2026 13:50,"Payment to Apple services, Merchant Transaction Number: MN40ZJF357a0",335420626,599,,669.44
1/10/2026 17:57,Transfer from My_Number to Others_Number,3.03666E+12,500,,169.44
1/12/2026 17:17,Buy Load Transaction for My_Number,351405064,118,,51.44
1/14/2026 17:12,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03679E+12,,500,551.44
1/14/2026 17:51,Payment to Shopee Philippines Inc,463285398,303,,248.44
1/14/2026 21:38,Transfer from My_Number to Others_Number,3.03679E+12,134,,114.44
1/18/2026 15:25,Transfer from Others_Number to My_Number,9.03692E+12,,100,214.44
1/18/2026 20:59,Transfer from My_Number to Others_Number,3.03693E+12,200,,14.44
1/19/2026 17:25,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03695E+12,,300,314.44
1/19/2026 17:31,Buy Load Transaction for My_Number,378619671,57,,257.44
1/20/2026 10:32,"Payment to Apple services, Merchant Transaction Number: MN40ZZMZ2Ba0",383250960,49,,208.44
1/21/2026 16:25,"Payment to SPOTIFY AB, Merchant Transaction Number: P3E9318C4B",384102592,169,,39.44
